date,year,month,ps,pn,us,un,emps,empn
01jan2000,2000,1,101.0312,100,5,5.4,14344.4,14132.8
01feb2000,2000,2,102.0434,100.619,5,5.3,14390.4,14270
01mar2000,2000,3,103.2247,102.1278,5,5.3,14429.1,14421.3
01apr2000,2000,4,104.1594,103.7041,5,4.7,14484.6,14450.8
01may2000,2000,5,104.9247,104.9891,5,4.7,14549.9,14590.2
01jun2000,2000,6,105.6934,106.3569,5,5,14590.4,14696.8
01jul2000,2000,7,106.3247,107.2333,5,5.2,14625.7,14547.6
01aug2000,2000,8,106.9666,108.1849,4.9,5,14659.1,14619.4
01sep2000,2000,9,107.8868,108.9445,4.8,4.6,14708.8,14742.5
01oct2000,2000,10,108.8087,109.5577,4.8,4.5,14708.2,14748.5
01nov2000,2000,11,109.9839,110.1186,4.8,4.7,14750.6,14861.1
01dec2000,2000,12,110.716,110.1204,4.8,4.4,14796.8,14962.4
01jan2001,2001,1,112.0315,110.8808,4.8,5.3,14832.3,14619.9
01feb2001,2001,2,112.9029,111.3156,4.8,5.1,14824.9,14708.2
01mar2001,2001,3,114.1785,112.978,4.9,5.3,14832,14826.3
01apr2001,2001,4,114.6368,114.1219,5,4.9,14798.5,14765.9
01may2001,2001,5,115.2574,115.3148,5.1,4.6,14772.8,14815
01jun2001,2001,6,115.7346,116.4652,5.2,5.3,14761.5,14871.1
01jul2001,2001,7,116.3756,117.3574,5.4,5.6,14697.5,14614.4
01aug2001,2001,8,117.3585,118.6733,5.6,5.7,14696.7,14655.6
01sep2001,2001,9,118.3401,119.509,5.9,5.5,14659.7,14674.4
01oct2001,2001,10,119.3157,120.1586,6.1,5.9,14629.4,14672.2
01nov2001,2001,11,120.3032,120.4848,6.3,6.2,14584.5,14694.1
01dec2001,2001,12,121.2896,120.6488,6.5,6.2,14566.1,14725.8
01jan2002,2002,1,122.7065,121.4529,6.6,7.1,14569.9,14367.4
01feb2002,2002,2,123.9895,122.2564,6.7,6.9,14571.1,14460.9
01mar2002,2002,3,125.4561,124.1195,6.7,7,14602.1,14595.4
01apr2002,2002,4,126.8519,126.2343,6.7,6.7,14618.7,14587.8
01may2002,2002,5,128.692,128.7312,6.8,6.3,14630.7,14672.8
01jun2002,2002,6,130.7723,131.5874,6.8,6.9,14630.1,14725.6
01jul2002,2002,7,132.8587,133.9656,6.8,7,14583.9,14498.3
01aug2002,2002,8,135.0852,136.5918,6.7,6.8,14593.7,14550.8
01sep2002,2002,9,137.2367,138.62,6.8,6.4,14604.1,14613.5
01oct2002,2002,10,139.7231,140.7648,6.8,6.5,14605.7,14654.7
01nov2002,2002,11,141.8244,142.0714,6.8,6.8,14612.1,14725.8
01dec2002,2002,12,143.9821,143.2581,6.9,6.8,14603,14756.9
